"site","fence","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","elev_mean_5x5","elev_sd_5x5","pct_slope_mean_5x5","pct_slope_sd_5x5","tree_vol_mean_5x5","tree_vol_sd_5x5","dist_rivers_mean_5x5","dist_rivers_sd_5x5","distance_to_perimeter","dist_cleared_mean_3x3","dist_cleared_sd_3x3","dist_cleared_mean_5x5","dist_cleared_sd_5x5","dist_dambo_mean_3x3","dist_dambo_sd_3x3","dist_dambo_mean_5x5","dist_dambo_sd_5x5","prop_M1_3x3","prop_M2_3x3","prop_M3_3x3","prop_Afromontane_3x3","prop_Water_3x3","prop_Dambo_3x3","prop_Rock_3x3","prop_Cleared_3x3","prop_M1_5x5","prop_M2_5x5","prop_M3_5x5","prop_Afromontane_5x5","prop_Water_5x5","prop_Dambo_5x5","prop_Rock_5x5","prop_Cleared_5x5"
"002",0,1110.88888888889,4.28498671072748,13,0,76.0777782864041,13.8848652289505,504,17.3853386507137,1110.44,5.40894321163263,12.2,4.38748219369606,77.5280006408691,13.2660773446456,502.76,28.8664742102899,920.488952636719,1165.27536349826,17.3205389276425,1165.50418945313,17.3205389276425,402.823516845703,17.3165847755322,403.486323242187,17.3165847755322,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.56,0.44,0,0,0,0,0,0
"127",0,1077.88888888889,2.31540733157497,7,1.5,70.5222227308485,11.3044013014377,1066.55555555556,17.479352899286,1076.8,4.63680924774785,8.92,3.17437657921468,80.6320016479492,20.3468643382278,1066.72,28.817702892493,439.317657470703,405.29830593533,17.3191623158543,405.956391601562,17.3191623158543,373.987942165799,17.310155105353,374.703605957031,17.310155105353,0.888888888888889,0.111111111111111,0,0,0,0,0,0,0.64,0.32,0.04,0,0,0,0,0
"086",0,1069.22222222222,3.9616214413349,11.2222222222222,6.11918658356194,14.6666662428114,29.2897584883107,510.777777777778,17.4052993207369,1066.92,8.15434444534527,12.08,5.88727441181401,18.5680000305176,30.7716282121196,511.4,28.860295678781,4639.0732421875,4.44444444444444,8.81917103688197,7.2,8.81917103688197,232.401738484701,9.38681218583379,224.010397338867,9.38681218583379,0.222222222222222,0,0,0,0,0,0,0.777777777777778,0.16,0.12,0,0,0,0,0,0.72
"077",0,947.666666666667,3.3166247903554,8.66666666666667,2,13.1444447835286,39.4333343505859,280,17.3205080756888,944.44,6.21878873522275,8.76,2.75801861245835,34.8400006103516,45.456903955707,280,28.8675134594813,5639.61865234375,2.22222222222222,6.66666666666667,9.13137084960938,6.66666666666667,859.224480523003,17.3194669853644,859.534931640625,17.3194669853644,0,0.111111111111111,0,0,0,0,0,0.888888888888889,0.2,0.2,0,0,0,0,0,0.6
"090",0,975.666666666667,5.54526825320471,16.1111111111111,5.3489355119604,54.9999978807237,8.73097899008847,367.444444444444,17.2924196623196,973.56,8.66063892947089,15.36,5.31413210223457,58.5839993286133,16.8715908835039,368.28,28.701800175831,5593.2548828125,122.761511908637,17.1992127796711,124.67625793457,17.1992127796711,345.640163845486,17.3056840017234,346.415811767578,17.3056840017234,1,0,0,0,0,0,0,0,0.76,0.2,0,0,0,0,0,0.04
"064",1,1077.33333333333,3.1224989991992,9,3,86.8888897365994,11.3423396078837,2017.22222222222,17.0717440364025,1078.16,4.21979462375442,8.44,2.91661904723031,94.8800024414062,14.3428286994702,2014.84,28.3647081188343,620.966979980469,724.614922417535,17.3168417242729,724.983425292969,17.3168417242729,145.144568549262,17.3114346775355,146.985316772461,17.3114346775355,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0.2,0.72,0.08,0,0,0,0,0
"103",1,1229.66666666667,1.3228756555323,4.66666666666667,2.5,87.5777808295356,17.3321083342673,640.333333333333,17.3277234511635,1228.2,2.21735578260835,5.48,2.6,94.3240032958984,16.1112360231848,640.6,28.8790581563873,1410.5673828125,412.633802625868,17.3208033311995,413.279791259766,17.3208033311995,452.84285820855,17.321196851895,453.431414794922,17.321196851895,0,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0.72,0.28,0,0,0,0,0
"207",1,1120.11111111111,6.77208321797001,25,1.5,125.55556318495,15.4744277993486,980.444444444444,17.2707202449052,1120.52,9.64416922290354,24.2,3.34165627596057,120.720006713867,15.1153924496817,980.64,28.7661259122601,190,655.337083604601,17.3197589972835,655.744064941406,17.3197589972835,394.292822943793,17.3151621551253,394.970329589844,17.3151621551253,0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0.32,0.68,0,0,0,0,0
"069",0,985.888888888889,15.0453019614467,48,7.5,46.1333349015978,19.7186480842453,2564.77777777778,17.3549544639116,982.28,20.5497769655374,45.44,8.17047530237175,53.2720010375977,31.0759767853966,2564.92,28.8645110819498,588.217651367188,108.946443345812,17.233876630722,111.469326477051,17.233876630722,200,17.3205080756888,200.407156982422,17.3205080756888,0.333333333333333,0.555555555555556,0.111111111111111,0,0,0,0,0,0.28,0.52,0.12,0,0,0,0.08,0
"025",0,856,6.36396103067893,20.1111111111111,2.20479275922049,80.8777796427409,16.4501378594383,3360,17.3205080756888,852.56,10.2635276586562,20.2,2.17944947177034,80.1720016479492,21.9827323046534,3360,28.8675134594813,1187.01306152344,362.583947075738,17.305898046748,363.323312988281,17.305898046748,854.556416829427,17.3201771292034,854.868498535156,17.3201771292034,0.555555555555556,0.444444444444444,0,0,0,0,0,0,0.52,0.4,0.08,0,0,0,0,0
"190",0,735.222222222222,5.40318835914911,26.1111111111111,12.7027993415275,53.3666674296061,39.3022274315515,1915.11111111111,17.2078793321871,738.68,11.6930178596745,27.84,12.8409501206102,63.4360012817383,39.2192024703951,1915.2,28.7141080307225,1676.0966796875,23.6672922770182,16.4268585686997,34.9675024414063,16.4268585686997,1171.94993760851,17.3200935796493,1172.17750976563,17.3200935796493,0.333333333333333,0.444444444444444,0,0,0,0,0,0.222222222222222,0.2,0.52,0.12,0,0,0,0,0.16
