"","x","y","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","dist_dambo_mean","dist_boundary_mean","fence"
"282",611886.324742396,8603470.4831603,729.257507324219,6.91564846038818,24.8879852294922,2.93746614456177,93.023796081543,16.2630882263184,417.458892822266,17.076135635376,471.773559570312,5586.5185546875,0
"283",612895.97042321,8603470.4831603,714.004150390625,4.66652297973633,16.376220703125,2.45331907272339,86.5247421264648,14.8158206939697,786.7333984375,17.2865886688232,781.3203125,5434.04931640625,0
"284",613905.616104023,8603470.4831603,701.598205566406,3.39046692848206,11.4882640838623,1.98980140686035,94.6238861083984,14.4522714614868,845.082275390625,17.0984325408936,1078.98266601562,5418.74365234375,0
"285",614915.261784837,8603470.4831603,667.897888183594,2.76239347457886,9.06941223144531,1.81374776363373,108.58634185791,14.628116607666,188.69075012207,16.7601985931396,1091.75024414062,5441.07275390625,0
"286",615924.907465651,8603470.4831603,673.013977050781,2.40270662307739,7.72589349746704,1.64956820011139,92.6676483154297,14.4846544265747,831.177795410156,17.039608001709,1356.43200683594,4735.83056640625,0
"287",616934.553146464,8603470.4831603,685.109741210938,2.81611371040344,9.40424346923828,1.77922511100769,101.430381774902,14.2896919250488,567.03857421875,17.2841796875,1261.09692382812,3910.990234375,0
"288",617944.198827278,8603470.4831603,677.004150390625,2.59986615180969,8.50858879089355,1.71162629127502,85.8479232788086,13.7929992675781,517.923095703125,17.1876239776611,552.2900390625,3067.8447265625,0
"289",618953.844508092,8603470.4831603,647.500610351562,3.2299907207489,11.010703086853,1.848020195961,76.5740356445312,14.3556900024414,1399.03112792969,17.1475391387939,908.448669433594,2174.3525390625,0
"290",619963.490188906,8603470.4831603,615.66552734375,1.96079349517822,6.17397499084473,1.3562685251236,72.1799240112305,20.5840740203857,1591.78454589844,17.2306232452393,1264.70983886719,1266.86645507812,0
"291",620973.135869719,8603470.4831603,611.354248046875,1.9322555065155,6.14845895767212,1.30877196788788,61.5857772827148,20.198522567749,1084.81115722656,17.3157520294189,1918.45483398438,397.940765380859,0
